iter	Passed	Remaining
0	1	179
1	3	169
2	4	160
3	6	148
4	7	149
5	9	144
6	10	137
7	11	132
8	12	126
9	13	121
10	14	117
11	15	113
12	16	110
13	17	107
14	18	104
15	19	102
16	20	99
17	21	97
18	22	95
19	23	95
20	24	93
21	26	92
22	27	90
23	28	88
24	29	87
25	30	85
26	31	83
27	31	82
28	32	80
29	33	79
30	34	77
31	35	76
32	36	75
33	38	74
34	39	73
35	40	72
36	41	70
37	42	69
38	43	68
39	45	67
40	46	67
41	47	65
42	48	64
43	49	63
44	50	61
45	51	60
46	52	59
47	54	58
48	55	57
49	56	56
50	57	55
51	58	53
52	59	52
53	60	51
54	60	49
55	61	48
56	62	47
57	63	46
58	64	44
59	65	43
60	67	43
61	69	42
62	70	41
63	71	40
64	72	38
65	73	37
66	74	36
67	75	35
68	76	34
69	77	33
70	78	31
71	79	30
72	80	29
73	81	28
74	82	27
75	84	26
76	85	25
77	86	24
78	87	23
79	88	22
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	93	15
86	94	14
87	96	13
88	97	12
89	98	10
90	99	9
91	100	8
92	101	7
93	102	6
94	103	5
95	104	4
96	105	3
97	106	2
98	107	1
99	108	0
